name,ring,quadrant,isNew,description
Jenkins,Adopt,Tools,FALSE,"<p>Open source and cloud agnostic continous integration tool to automate parts of the software development process related to building, testing and deploying.</p> "
Spinnaker,Adopt,Tools,FALSE,<p>Open source and cloud agnostic continous delivery tool for automating infrastructure and software deployments/rollback.</p>
Github,Adopt,Tools,FALSE,<p>Cloud based code repository which provides source code management and software development collaboration tools.</p>
"Artifactory, GCR, Docker Hub",Adopt,Tools,FALSE,<p>Artifact repository manager for binary files and container repository.</p>
Terraform + Atlantis,Adopt,Tools,FALSE,<p>Infrastructure As Code Tool.</p>
"Maven, Gradle",Adopt,Tools,FALSE,<p>Software build and automation tool.</p>
Kubernetes,Adopt,Tools,FALSE,"<p>Open-source container orchestration system for automating software deployment, scaling, and management.</p>"
"kdt, helm",Adopt,Tools,FALSE,<p>Kubernetes deployment tool.</p>
"Ambassador(Emissary), Kong",Adopt,Tools,FALSE,<p>Ingress controller and used for rate limiting.</p>
Datadog,Adopt,Platforms,FALSE,<p>Uptime monitoring and security platform.</p>
LogDNA,Adopt,Platforms,FALSE,<p>Centralized log management and analysis platform.</p>
"Vault, Secrets Loader",Adopt,Tools,FALSE,<p>Secrets and encryption management system.</p>
Consul,Adopt,Tools,FALSE,"<p>Service mesh solution providing a full featured control plane with service discovery, configuration, and segmentation functionality.</p>"
SendGrid,Adopt,Platforms,FALSE,<p>Hosted email delivery platform.</p>
Cloudflare,Adopt,Tools,FALSE,<p>Used for domain registrations in production and content delivery.</p>
Docker,Adopt,Tools,FALSE,<p>Desktop container management tool.</p>
Dependabot,Assess,Tools,FALSE,<p>Software dependency management tool.</p>
Cloud Armor,Adopt,Tools,FALSE,<p>Web Application Firewall (WAF) and DDOS protection tool</p>
Snyk,Adopt,Tools,FALSE,<p>Security Vulnerability Detection tool.</p>
PagerDuty,Adopt,Platforms,FALSE,<p>Incident response platform.</p>
Kustomize,Adopt,Tools,FALSE,"<p>Service, Dependency, and Deployment Registry </p>"
Django,Adopt,languages-and-frameworks,FALSE,<p>Open source framework for speeding up development of web applications</p>
Google Cloud Run,Adopt,Tools,FALSE,<p>Fully managed environment for deploying and scaling serverless HTTP containers</p>
Dataproc,Adopt,Platforms,FALSE,"<p>Managed Spark and Hadoop service that lets you take advantage of open source data tools for batch processing, querying, streaming, and machine learning</p>"
Spark,Adopt,Tools,FALSE,<p>Open-source unified analytics engine for large-scale data processing</p>
CDAP,Adopt,Platforms,FALSE,<p>Open-source application development platform for hadoop ecosystem for data application development</p>
Pubsub,Adopt,Tools,FALSE,<p>Used for change event processing</p>
RedPanda(Vectorized),Adopt,Platforms,TRUE,<p>Kafka API compatible streamig platform</p>
Metastore (GCP managed or inhouse (cloud SQL)),Assess,Techniques,TRUE,<p>Used for managing metadata</p>
Parquet/Thrift/Avro,Assess,Tools,TRUE,<p>Data storage formats</p>
Cadence/Temporal,Trial,Tools,TRUE,"<p>Distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way</p>"
Airflow,Adopt,Platforms,FALSE,"<p>Platform created by the community to programmatically author, schedule and monitor workflows</p>"
Looker\Tableau\Grafana + Bokeh?,Assess,Tools,TRUE,<p>Reporting and Visualization</p>
Presto,Assess,Tools,TRUE,"<p>Open source, distributed SQL query engine, designed from the ground up for fast analytic queries against data of any size</p>"
"Superset, Jupyter",Assess,Tools,TRUE,<p>Big Data Dev tooling</p>
NOSQL DB,Assess,Techniques,TRUE,<p>Non-relational database for data storage and retrieval</p>
Sonar Cloud,Adopt,Tools,FALSE,"<p>Cloud-based code analysis service designed to detect code quality issues in 25 different programming languages, continuously ensuring the maintainability, reliability and security of your code.</p>"
TestRail,Adopt,Tools,FALSE,<p>Test Case Management tool</p>
Status Page (Internal and External),Adopt,Tools,FALSE,<p>A communication tool that helps you inform your users about outages and scheduled maintenance</p>
IRIS,Adopt,Tools,FALSE,<p>Black Box Monitoring Tool.</p>
API: OpenTracing/OpenTelemetry,Adopt,Tools,FALSE,"<p>Availability/Latency monitoring. Collection of tools, APIs and SDKs used to instrument, generate collect and export telemetry data (metrics, logs, and traces) to help you analyze your software’s performance and behavior</p>"
Visualization: Tableau vs Datadog vs Cloud Trace,Assess,Techniques,TRUE,<p>Whitebox Monitoring</p>
"Junit, TestNG, PyTest",Adopt,languages-and-frameworks,FALSE,<p>Framework for unit testing</p>
Jmeter/Taurus,Trial,Tools,FALSE,<p>Load and Functional Testing tool.</p>
Postman team,Adopt,Tools,FALSE,<p>Performance Testing tool</p>
Cypress.io,Trial,Tools,FALSE,<p>API design and testing tool</p>
Percona Perfromance Monitor,Adopt,Tools,FALSE,<p>Database performance and monitoring tool</p>
"MySQL, Percona MySQL CloudSQL",Adopt,Platforms,FALSE,<p>Database platforms</p>
Compliance Risk and Replication Policy,Assess,Techniques,TRUE,<p>Cross-region Data Access Management</p>
"FoundationDB, ScyllaDB,SnowPlow",Trial,Tools,FALSE,<p>Databases for realtime operations</p>
"Tonic (For now, using In-house solution)",Hold,Tools,TRUE,<p>Data anonymization tool</p>
Spot.io,Adopt,Tools,FALSE,<p>Cost Optimizations tool.</p>
Granulate,Trial,Tools,FALSE,<p>Cost Optimizations tool.</p>
